iter	Passed	Remaining
405	6207	1635
406	6220	1620
407	6234	1604
408	6245	1588
409	6259	1572
410	6273	1556
411	6286	1541
412	6300	1525
413	6314	1510
414	6328	1494
415	6340	1478
416	6353	1462
417	6367	1447
418	6381	1431
419	6396	1416
420	6409	1400
421	6423	1385
422	6437	1369
423	6449	1353
424	6462	1338
425	6475	1322
426	6490	1307
427	6504	1291
428	6519	1276
429	6534	1261
430	6547	1245
431	6561	1230
432	6575	1214
433	6590	1199
434	6604	1184
435	6619	1168
436	6633	1153
437	6646	1138
438	6661	1122
439	6675	1107
440	6690	1092
441	6703	1076
442	6717	1061
443	6733	1046
444	6746	1030
445	6759	1015
446	6774	1000
447	6789	985
448	6804	969
449	6819	954
450	6834	939
451	6848	924
452	6862	908
453	6875	893
454	6890	878
455	6905	863
456	6919	847
457	6934	832
458	6948	817
459	6962	802
460	6974	786
461	6988	771
462	7003	756
463	7017	741
464	7031	725
465	7045	710
466	7059	695
467	7073	680
468	7087	664
469	7102	649
470	7115	634
471	7128	619
472	7140	603
473	7154	588
474	7169	573
475	7182	558
476	7197	543
477	7211	528
478	7226	512
479	7242	497
480	7258	482
481	7273	467
482	7289	452
483	7306	437
484	7323	422
485	7338	407
486	7354	392
487	7369	377
488	7385	362
489	7402	347
490	7418	332
491	7434	317
492	7450	302
493	7465	287
494	7481	272
495	7498	257
496	7515	241
497	7530	226
498	7546	211
499	7561	196
500	7576	181
501	7594	166
502	7611	151
503	7627	136
504	7643	121
505	7660	105
506	7675	90
507	7692	75
508	7708	60
509	7723	45
510	7739	30
511	7753	15
512	7768	0
