iter	Logloss
0	0.6780907055
1	0.6630620222
2	0.6504219096
3	0.6379798353
4	0.6259929445
5	0.6152573006
6	0.6049463414
7	0.5956797932
8	0.5873219828
9	0.5788725748
10	0.5717569556
11	0.5647852108
12	0.5584212516
13	0.5527213804
14	0.5478666227
15	0.5429793639
16	0.5383882781
17	0.5344965199
18	0.5307362278
19	0.5272227798
20	0.523778869
21	0.5202115396
22	0.5171422274
23	0.5140299629
24	0.5113732238
25	0.5091977436
26	0.506985189
27	0.5048075845
28	0.5029173239
29	0.5007511263
30	0.4990143261
31	0.4973537887
32	0.4957896803
33	0.4941970335
34	0.4930318272
35	0.4915077165
36	0.4905222728
37	0.4893427572
38	0.4883984764
39	0.4873984828
40	0.4864745356
41	0.4857482395
42	0.4848667947
43	0.4839847603
44	0.4832411165
45	0.4825212565
46	0.4816689604
47	0.4808693109
48	0.4801110369
49	0.4794391071
50	0.4789749062
51	0.4784802727
52	0.4777853685
53	0.4772901106
54	0.4768934899
55	0.4764468809
56	0.4759371498
57	0.4755946686
58	0.4750471933
59	0.4746449005
60	0.4742269693
61	0.4738098161
62	0.4734899639
63	0.4731371537
64	0.4728609445
65	0.4724035878
66	0.471942516
67	0.4716897696
68	0.4713854198
69	0.4710513386
70	0.4708282887
71	0.4705748168
72	0.4702538065
73	0.4699930962
74	0.4695955999
75	0.4693895698
76	0.4691299025
77	0.4688883747
78	0.4685857691
79	0.4683742134
80	0.4681660937
81	0.467920338
82	0.4677407951
83	0.4675495941
84	0.4674153267
85	0.4672095164
86	0.4671072827
87	0.4669675804
88	0.4667823654
89	0.4665540725
90	0.4663756354
91	0.4662239227
92	0.465996631
93	0.4659367322
94	0.4657515172
95	0.4656070115
96	0.4654691057
97	0.4652618268
98	0.4651530699
99	0.4650150455
100	0.4648851281
101	0.4647849422
102	0.464691562
103	0.464582819
104	0.4644575586
105	0.4642800076
106	0.4641886262
107	0.4640875333
108	0.4640035926
109	0.4639068357
110	0.4637180242
111	0.4636383184
112	0.4635065696
113	0.463452029
114	0.4633394
115	0.4631773582
116	0.4630640071
117	0.4629955688
118	0.4629219851
119	0.4628635339
120	0.4627566747
121	0.4626057504
122	0.4625017586
123	0.4624449679
124	0.4623224284
125	0.4622178541
126	0.4621605925
127	0.4620603507
128	0.4619616856
129	0.4618804659
130	0.4618049113
131	0.4616988369
132	0.4615920579
133	0.4615098475
134	0.4614407115
135	0.4613959662
136	0.4613258674
137	0.4612623093
138	0.4611913489
139	0.4611358803
140	0.4609962583
141	0.4609189211
142	0.4608428886
143	0.4607713875
144	0.460678998
145	0.4606174876
146	0.4605431574
147	0.4604526656
148	0.4603703191
149	0.4602984342
150	0.4602316599
151	0.460153196
152	0.4600794134
153	0.4599537344
154	0.4599014612
155	0.4598675996
156	0.459796095
157	0.459710909
158	0.4596243416
159	0.4595803637
160	0.4595259033
161	0.4595057859
162	0.4594591847
